Type of championship,Frist team,Secend team,Match time,Score,Date
الدوري المصري,الداخلية,الاتحاد السكندري,16:00,0 - 1,2024-01-01
الدوري المصري,المصري,الإسماعيلي,19:00,1 - 1,2024-01-01
الدوري الإنجليزي,ليفربول,نيوكاسل,22:00,4 - 2,2024-01-01
الدوري الإنجليزي,وست هام يونايتد,برايتون,21:30,0 - 0,2024-01-02
الدوري الإسباني,خيتافي,رايو فاييكانو,18:00,0 - 2,2024-01-02
الدوري الإسباني,ريال سوسيداد,ألافيس,20:15,1 - 1,2024-01-02
الدوري الإسباني,فالنسيا,فياريال,22:30,3 - 1,2024-01-02
كأس إيطاليا,ميلان,كالياري,22:00,4 - 1,2024-01-02
دوري القسم الثاني-أ,دكرنس,النجوم,14:30,3 - 2,2024-01-02
دوري القسم الثاني-أ,حرس الحدود,بروكسي,14:30,1 - 1,2024-01-02
دوري القسم الثاني-أ,المصرية للاتصالات,السكة الحديد,14:30,2 - 4,2024-01-02
دوري القسم الثاني-أ,القناة,راية الرياضي,14:30,0 - 0,2024-01-02
الدوري الإسباني,غرناطه,قادش,18:00,2 - 0,2024-01-03
الدوري الإسباني,سيلتا فيجو,ريال بيتيس,20:15,2 - 1,2024-01-03
الدوري الإسباني,ريال مدريد,مايوركا,20:15,1 - 0,2024-01-03
الدوري الإسباني,جيرونا,اتلتيكو مدريد,22:30,4 - 3,2024-01-03
كأس إيطاليا,أتالانتا,ساسولو,19:00,3 - 1,2024-01-03
كأس إيطاليا,روما,كريمونيسي,22:00,2 - 1,2024-01-03
الدوري المغربي,الوداد البيضاوي,الرجاء البيضاوي,17:00,0 - 2,2024-01-03
الدوري المغربي,مولودية وجدة,الفتح الرباطي,19:00,2 - 1,2024-01-03
الدوري المغربي,المغرب الفاسي,شباب المحمدية,21:00,2 - 1,2024-01-03
الدوري المغربي,اتحاد طنجة,نهضة الزمامرة,21:00,1 - 1,2024-01-03
دوري القسم الثاني-أ,مكادي,وادي دجلة,14:30,0 - 0,2024-01-03
دوري القسم الثاني-أ,بترول أسيوط,مصر المقاصة,14:30,3 - 2,2024-01-03
دوري القسم الثاني-أ,لافيينا أف سي,أبو قير للاسمدة,14:30,0 - 0,2024-01-03
دوري القسم الثاني-أ,جمهورية شبين,بتروجيت,14:30,0 - 1,2024-01-03
دوري القسم الثاني-أ,أسوان,طنطا‏,14:30,1 - 3,2024-01-03
دوري القسم الثاني-أ,غزل المحلة,النصر للتعدين,17:00,1 - 0,2024-01-03
الدوري التونسي,إتحاد بن قردان,قوافل قفصة,15:00,5 - 0,2024-01-03
الدوري التونسي,الصفاقســــي,الإتحاد المنستيري,15:00,0 - 0,2024-01-03
الدوري التونسي,الترجى الرياضي,البنزرتي,15:00,1 - 1,2024-01-03
الدوري التونسي,النجم الرياضي بالمتلوي,مستقبل المرسى,15:00,0 - 1,2024-01-03
الدوري التونسي,الأولمبي الباجي,الافريقي التونسي,15:00,0 - 1,2024-01-03
الدوري التونسي,سليمان الرياضي,النجم الساحلى,15:00,1 - 2,2024-01-03
كأس الاتحاد الإنجليزي,كريستال بالاس,ايفرتون,22:00,0 - 0,2024-01-04
الدوري الإسباني,أوساسونا,الميريا,18:00,1 - 0,2024-01-04
الدوري الإسباني,اشبيلية,أتلتيك بلباو,20:15,0 - 2,2024-01-04
الدوري الإسباني,لاس بالماس,برشلونة,22:30,1 - 2,2024-01-04
كأس إيطاليا,يوفنتوس,ساليرنيتانا,22:00,6 - 1,2024-01-04
مباريات ودية - منتخبات,مصر,هولندا- كرة يد,18:45,30 - 28,2024-01-04
الدوري المغربي,الاتحاد التوركي,أولمبيك آسفي,17:00,1 - 0,2024-01-04
الدوري المغربي,يوسفية برشيد,حسنية اغادير,19:00,1 - 2,2024-01-04
الدوري المغربي,نهضة بركان,الشباب الرياضي السالمي,19:00,3 - 1,2024-01-04
الدوري المغربي,الجيش الملكي,المغرب التطواني,21:00,3 - 0,2024-01-04
كأس الاتحاد الإنجليزي,برينتفورد,وولفرهامبتون,21:15,0 - 0,2024-01-05
كأس الاتحاد الإنجليزي,فولهام,روثيرهام يونايتد,21:30,1 - 0,2024-01-05
كأس الاتحاد الإنجليزي,توتنهام هوتسبر,بيرنلي,22:00,1 - 0,2024-01-05
مباريات ودية - منتخبات,قطر,الأردن,18:00,1 - 2,2024-01-05
كأس فرنسا,باو,نانت,19:00,1 - 4,2024-01-05
الدوري الإيطالي,بولونيا,جنوى,21:45,1 - 1,2024-01-05
الدوري التركي,غازي عنتاب بي.بي.كي,بينديكسبور,16:00,2 - 2,2024-01-05
الدوري التركي,انطاليا سبور,ألانيا سبور,19:00,0 - 0,2024-01-05
الدوري التركي,بشكتاش,قاسم باشا,19:00,1 - 3,2024-01-05
الدوري البرتغالي,سبورتينج لشبونة,إستوريل,20:45,5 - 1,2024-01-05
الدوري البرتغالي,بوافيستا,بورتو,22:45,1 - 1,2024-01-05
كأس الاتحاد الإنجليزي,ويمبلدون,إبسويتش تاون,14:30,1 - 3,2024-01-06
كأس الاتحاد الإنجليزي,ميلوول,ليستر سيتي,14:30,2 - 3,2024-01-06
كأس الاتحاد الإنجليزي,كوفنتري سيتي,اوكسفورد,14:30,6 - 2,2024-01-06
كأس الاتحاد الإنجليزي,ميدستون يونايتد,ستيفيناج بوروه,14:30,1 - 0,2024-01-06
كأس الاتحاد الإنجليزي,سندرلاند,نيوكاسل,14:45,0 - 3,2024-01-06
كأس الاتحاد الإنجليزي,ستوك سيتي,برايتون,17:00,2 - 4,2024-01-06
كأس الاتحاد الإنجليزي,نورويتش سيتي,بريستول روفرز,17:00,1 - 1,2024-01-06
كأس الاتحاد الإنجليزي,ساوثامبتون,والسول,17:00,4 - 0,2024-01-06
كأس الاتحاد الإنجليزي,واتفورد,تشيسترفيلد,17:00,2 - 1,2024-01-06
كأس الاتحاد الإنجليزي,بلاكبيـرن  روفرز,كامبريدج يونايتد,17:00,5 - 2,2024-01-06
كأس الاتحاد الإنجليزي,ك.ب. رينجرز,بورنموث,17:00,2 - 3,2024-01-06
كأس الاتحاد الإنجليزي,بلايموث أرجايل,سوتون يونايتد,17:00,3 - 1,2024-01-06
كأس الاتحاد الإنجليزي,نيوبورت كاونتى,إيستليج,17:00,1 - 1,2024-01-06
كأس الاتحاد الإنجليزي,هال سيتي,بيرمنجهام,17:00,1 - 1,2024-01-06
كأس الاتحاد الإنجليزي,جيلينجهام,شيفيلد يونايتد,17:00,0 - 4,2024-01-06
كأس الاتحاد الإنجليزي,شيفيلد وينزداي,كارديف سيتي,19:30,4 - 0,2024-01-06
كأس الاتحاد الإنجليزي,ميدلسبره,أستون فيلا,19:30,0 - 1,2024-01-06
كأس الاتحاد الإنجليزي,سوانزي سيتي,موركامب,19:30,2 - 0,2024-01-06
كأس الاتحاد الإنجليزي,تشيلسي,بريستون نورث,19:30,4 - 0,2024-01-06
كأس ملك أسبانيا,ديبورتيفو لوجو,اتلتيكو مدريد,17:00,1 - 3,2024-01-06
كأس ملك أسبانيا,إلتشي,جيرونا,19:00,0 - 2,2024-01-06
كأس ملك أسبانيا,أراندينا,ريال مدريد,22:30,1 - 3,2024-01-06
مباريات ودية - منتخبات,العراق,كوريا الجنوبية,15:00,0 - 1,2024-01-06
مباريات ودية - منتخبات,البـــحرين,أستراليا,16:00,0 - 2,2024-01-06
مباريات ودية - منتخبات,موزمبيق,ليسوتو,16:00,2 - 0,2024-01-06
مباريات ودية - منتخبات,مصر,الدنمارك - كرة يد,17:00,31 - 34,2024-01-06
مباريات ودية - منتخبات,الإمارات,عمان,17:15,0 - 1,2024-01-06
مباريات ودية - منتخبات,كوت ديفوار,سيراليون,19:00,5 - 1,2024-01-06
مباريات ودية - منتخبات,تونس,موريتانيا,20:30,0 - 0,2024-01-06
مباريات ودية - منتخبات,مالي,غينيا بيساو,21:00,6 - 2,2024-01-06
الدوري الإيطالي,إنتر ميلان,هيلاس فيرونا,13:30,2 - 1,2024-01-06
الدوري الإيطالي,فروزينوني,مونزا,16:00,2 - 3,2024-01-06
الدوري الإيطالي,ليتشي,كالياري,19:00,1 - 1,2024-01-06
الدوري الإيطالي,ساسولو,فيورنتينا,21:45,1 - 0,2024-01-06
الدوري المغربي,الرجاء البيضاوي,مولودية وجدة,19:00,2 - 0,2024-01-06
الدوري المغربي,شباب المحمدية,اتحاد طنجة,21:00,1 - 0,2024-01-06
الدوري التركي,ريزه سبور,هاتاي سبور,12:30,2 - 0,2024-01-06
الدوري التركي,إسطنبول باشاكشهير,أضنة دمير سبور,15:00,0 - 0,2024-01-06
الدوري التركي,أنقرة جوتشو,طرابزون سبور,18:00,0 - 1,2024-01-06
الدوري التركي,سامسون سبور,فاتح كاراجومروك,18:00,1 - 0,2024-01-06
الدوري البرتغالي,إستريلا,فيزيلا,17:30,1 - 1,2024-01-06
الدوري البرتغالي,فيرنسي,جل فيسنتي,17:30,1 - 0,2024-01-06
الدوري البرتغالي,أروكا,بنفيكا,20:00,0 - 3,2024-01-06
الدوري البرتغالي,سبورتينج براجا,فيتوريا جيماريش,22:30,1 - 1,2024-01-06
كأس الاتحاد الإنجليزي,لوتون تاون,بولتون واندررز,16:00,0 - 0,2024-01-07
كأس الاتحاد الإنجليزي,بيتربورو يونايتد,ليدز يونايتد,16:00,0 - 3,2024-01-07
كأس الاتحاد الإنجليزي,نوتينجهام فورست,بلاكبول,16:00,2 - 2,2024-01-07
كأس الاتحاد الإنجليزي,مانشستر سيتي,هدرسفيلد تاون,16:00,5 - 0,2024-01-07
كأس الاتحاد الإنجليزي,شروزبري تاون,ريكسهام,16:00,0 - 1,2024-01-07
كأس الاتحاد الإنجليزي,وست هام يونايتد,بريستول سيتي,16:00,1 - 1,2024-01-07
كأس الاتحاد الإنجليزي,وست بروميتش,ألدرشوت تاون,16:00,4 - 1,2024-01-07
كأس الاتحاد الإنجليزي,أرسنال,ليفربول,18:30,0 - 2,2024-01-07
كأس ملك أسبانيا,بارباسترو,برشلونة,22:00,2 - 3,2024-01-07
مباريات ودية - منتخبات,مصر,النرويج - كرة يد,14:30,28 - 23,2024-01-07
مباريات ودية - منتخبات,مصر,تنزانيا,18:00,2 - 0,2024-01-07
كأس فرنسا,يو إس ريفيل,باريس سان جيرمان,21:45,0 - 9,2024-01-07
الدوري الإيطالي,إمبولي,ميلان,13:30,0 - 3,2024-01-07
الدوري الإيطالي,تورينو,نابولي,16:00,3 - 0,2024-01-07
الدوري الإيطالي,أودينيزي,لاتسيو,16:00,1 - 2,2024-01-07
الدوري الإيطالي,ساليرنيتانا,يوفنتوس,19:00,1 - 2,2024-01-07
الدوري الإيطالي,روما,أتالانتا,21:45,1 - 1,2024-01-07
الدوري المغربي,نهضة الزمامرة,نهضة بركان,17:00,2 - 1,2024-01-07
الدوري المغربي,حسنية اغادير,الاتحاد التوركي,17:00,3 - 2,2024-01-07
الدوري المغربي,المغرب التطواني,الوداد البيضاوي,19:00,0 - 0,2024-01-07
الدوري المغربي,أولمبيك آسفي,المغرب الفاسي,21:00,1 - 1,2024-01-07
الدوري التركي,قيصري سبور,سيفاسبور,12:30,1 - 3,2024-01-07
الدوري التركي,إسطنبول سبور,فنربخشة,15:00,1 - 5,2024-01-07
الدوري التركي,جالاتا سراي,قونيا سبور,18:00,3 - 0,2024-01-07
الدوري البرتغالي,ريو آفي,بورتيمونينسي,20:00,2 - 0,2024-01-07
الدوري البرتغالي,فاماليكاو,شافيش,22:30,2 - 2,2024-01-07
كأس الاتحاد الإنجليزي,ويجان أتلتيك,مانشستر يونايتد,22:15,0 - 2,2024-01-08
كأس رابطة الأندية المحترفة,بلدية المحلة,سموحة,15:00,1 - 0,2024-01-08
كأس رابطة الأندية المحترفة,الداخلية,الإسماعيلي,15:00,1 - 0,2024-01-08
كأس رابطة الأندية المحترفة,مودرن فيوتشر,الاتحاد السكندري,17:00,0 - 1,2024-01-08
مباريات ودية - منتخبات,غينيا,نيجيريا,15:00,2 - 0,2024-01-08
مباريات ودية - منتخبات,موزمبيق,بوتسوانا,16:45,1 - 1,2024-01-08
مباريات ودية - منتخبات,السنغال,النيجر,20:00,1 - 0,2024-01-08
مباريات ودية - منتخبات,غانـــا,ناميبيا,22:00,0 - 0,2024-01-08
الدوري المغربي,الشباب الرياضي السالمي,يوسفية برشيد,17:00,3 - 1,2024-01-08
الدوري المغربي,الفتح الرباطي,الجيش الملكي,19:00,1 - 4,2024-01-08
دوري القسم الثاني-أ,النجوم,جمهورية شبين,14:00,1 - 1,2024-01-08
دوري القسم الثاني-أ,راية الرياضي,بترول أسيوط,14:30,1 - 1,2024-01-08
دوري القسم الثاني-أ,النصر للتعدين,المصرية للاتصالات,14:30,0 - 1,2024-01-08
دوري القسم الثاني-أ,مصر المقاصة,لافيينا أف سي,14:30,0 - 3,2024-01-08
الدوري البرتغالي,موريرنسي,كازا بيا,22:15,1 - 4,2024-01-08
كأس رابطة الأندية المحترفة,زد,طلائع الجيش,15:00,0 - 1,2024-01-09
كأس رابطة الأندية المحترفة,المصري,المقاولون العرب,17:00,1 - 0,2024-01-09
كأس إيطاليا,فيورنتينا,بولونيا,22:00,0 - 0,2024-01-09
مباريات ودية - منتخبات,اليــــابان,الأردن,13:00,6 - 1,2024-01-09
مباريات ودية - منتخبات,زامبيا,الكاميرون,15:00,1 - 1,2024-01-09
مباريات ودية - منتخبات,بوروندي,الجزائر,17:00,0 - 4,2024-01-09
مباريات ودية - منتخبات,فلسطين,السعودية,17:30,0 - 0,2024-01-09
